id	label	Gender	Occupations	Subjects	Monthly Meeting	
w6028wf4	Waln, Nicholas, 1742-1813	Male	Quakers;Lawyer;Clergy	Ministers (Clergy);Society of Friends--Clergy;Quakers;Society of Friends;Lay ministry--Society of Friends;Travel	Monthly Meeting of Friends of Philadelphia for the Southern District;Monthly Meeting of Friends of Philadelphia	
w6086z81	Lay, Benjamin, 1682-1759	Male	Abolitionists;Animal rights activists;Farmers;Sailors;Quakers;Shepherds;Activist;Glovers	Antislavery movements;People with disabilities;Animal rights;Hermits;Vegetarianism;Society of Friends;Quakers;Fasting--Quakers;Ascetics	Abington Monthly Meeting of the Religious Society of Friends	
w6hb9wqh	Evans, John, 1739-1821	Male	Quakers	Society of Friends;Quakers	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827)	
w6b38kp0	Ross, Thomas, approximately 1709-1786	Male	Quakers;Clergy	Society of Friends;Lay ministry--Society of Friends;Society of Friends--Clergy;Quakers;Clergy--Travel;Immigrants--18th century	Wrightstown Monthly Meeting of the Religious Society of Friends;Buckingham Monthly Meeting of Friends	
w65v3tfw	Law, William		Merchants	Law, William, 1779-1856;Mutiny--United States	Unknown	
w6bd4q25	Miller, Ebenezer, 1725-1800	Male	Clergy;Quakers	Society of Friends;Lay ministry--Society of Friends;Quakers;Society of Friends--Clergy	Salem Monthly Meeting (Society of Friends : 1676-1827);Greenwich Monthly Meeting of Friends	
w6md9qk8	Simpson, James, 1750-	Male	Quakers;Clergy	Quakers;Society of Friends--Clergy;Lay ministry--Society of Friends;Society of Friends	Salem Monthly Meeting (Society of Friends : 1676-1827);Chesterfield Monthly Meeting of the Religious Society of Friends	
w6kx66hw	Evans, John, 1774-1841	Male	Quakers	Society of Friends;Quakers	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w66124pd	Pemberton, John, 1727-1795	Male	Quakers;Clergy;Conscientious objectors	Quakers--Travel;Lay ministry--Society of Friends;Society of Friends--Clergy;United States--History--Revolution, 1775-1783--Prisoners and prisons;Indians of North America;Quakers--Virginia;Clergy--Travel;Church work with Indians--Society of Friends;Quaker conscientious objectors;Quakers;Society of Friends;United States--History--Revolution, 1775-1783--Religious aspects	Monthly Meeting of Friends of Philadelphia	
w6wf3zbk	Claridge, Richard, 1649-1723	Male	Clergy;Quakers	Society of Friends--Clergy;Lay ministry--Society of Friends;Quakers;Society of Friends	Unknown	
w6sz54r1	Foulke, Joseph, 1786-1853.				Unknown	
w6bv9xp3	Warrington, Joseph, 1730-1803	Male	Quakers	Society of Friends;Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6912v76	Fox, George, 1624-1691	Male	Quakers;Religious leaders	Society of Friends--History--17th century;Quakers;Society of Friends	Unknown	
w6088mm4	Warrington, Elizabeth Bishop, active 1728	Female	Quakers	Quakers;Quaker women	Unknown	
w61657hq	Redman, Thomas, 1714-1766	Male	Clergy;Quakers	Society of Friends--Clergy;Quakers;Society of Friends;Lay ministry--Society of Friends	Unknown	
w6vr3t5g	French, Charles, 1753-	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chesterfield Monthly Meeting of the Religious Society of Friends	
w6x098rs	Redman, Mercy Davis, 1722-1778	Female	Women clergy;Quakers;Clergy	Quakers;Society of Friends;Quaker women;Clergy--Travel;Lay ministry--Society of Friends;Society of Friends--Clergy	Haddonfield Monthly Meeting of the Religious Society of Friends	
w6sf4z67	Allinson, Martha Cooper, 1748-1823	Female	Quakers;Clergy;Women clergy	Quaker women--Diaries;Society of Friends--Clergy;Women clergy--Diaries;Quakers;Lay ministry--Society of Friends;Society of Friends;Quaker women	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6dw29hq	Healy, Christopher, 1773-1851	Male	Clergy;Quakers	Voyages and travels;Clergy--Travel;Lay ministry--Society of Friends;Quakers;Society of Friends--Clergy;Society of Friends	Unknown	
w69h6c86	Collins, Job, 1752-1827	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.). Preparative Meeting of Ministers and Elders.	
w6jj4bpx	Hollinshead, Jacob, 1732-1819	Male	Quakers	Society of Friends;Quakers	Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6zw3s78	Willis, Robert, approximately 1713-1791	Male	Clergy;Travelers;Quakers	Lay ministry--Society of Friends;Fishing nets industry;Quakers;Society of Friends;Society of Friends--Clergy	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6x16z80	Reeve, John, 1730-1816	Male	Quakers;Clergy	Society of Friends--Clergy;Quakers;Society of Friends	Woodbury Monthly Meeting (Society of Friends)	
w6md9qck	Haines, Hinchman, 1767-1853	Male	Quakers;Clergy	Society of Friends;Lay ministry--Society of Friends;Society of Friends--Clergy;Clergy--Travel;Quakers;Clergy	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6dn68k9	Hunt, William, 1733-1772	Male	Quakers;Clergy	Quakers;Society of Friends--Clergy;Lay ministry--Society of Friends;Society of Friends;Theology, Practical;Clergy--Travel	Unknown	
w6gg1k1v	Atkinson, Samuel, 1768?-1841	Male	Quakers;Clergy	Society of Friends;Quakers;Society of Friends--Clergy;Lay ministry--Society of Friends	Rancocas Monthly Meeting (Society of Friends);Burlington Monthly Meeting of Friends (1827-1959 : Rancocas, N.J.)	
w6c82qz0	Evans, Joshua, 1731-1798	Male	Quakers;Clergy;Abolitionists	Quakers--Social life and customs;Quakers;Lay ministry--Society of Friends;Vegetarians;Peace--Religious aspects--Society of Friends;Spiritual life--Quaker authors;Society of Friends;Diaries (Blank-books);Slavery;Quakers--History;Quakers--Diaries;Diaries;Abolitionists	Haddonfield Monthly Meeting of the Religious Society of Friends	
w67h3crq	White, Joseph, 1713-1777	Male	Quakers;Clergy	Quakers;Society of Friends;Lay ministry--Society of Friends;Society of Friends--Clergy	Unknown	
w6k6603s	Roberts, David, 1792-1880				Unknown	
w6h14ctn	Wright, Rebecca Gibbs, approximately 1740-1811	Female	Women clergy;Quakers;Clergy	Society of Friends--Clergy;Clergy--Travel;Quakers;Quaker women;Spiritual journals;Women clergy;Society of Friends;Lay ministry--Society of Friends	Chesterfield Monthly Meeting of Friends (Hicksite : 1827-1956)	
w67b4w4h	Justice, Joseph, 1763-1825	Male	Clergy;Quakers	Society of Friends;Quakers;Lay ministry--Society of Friends;Society of Friends--Clergy	Unknown	
w6vv2hqk	Warrington, Abraham, 1755-	Male	Quakers	Quakers;Society of Friends	Unknown	
w6553d40	Roberts, Samuel, 1758-1834	Male	Quakers	Quakers;Society of Friends	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6xx5995	Roberts, John, 1744-1827	Male	Quakers	Quakers;Society of Friends	Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6jr1rg4	Bispham, Joshua, 1705?-1795	Male	Quakers	Society of Friends;Quakers	Monthly Meeting of Friends of Philadelphia	
w6mk6p7z	Thorn, Thomas, 1740-1809	Male	Clergy;Quakers;Elders	Society of Friends--Clergy;Quakers;Society of Friends	Unknown	
w6010spn	Cowperthwaite, Hugh, 1744-1808	Male	Quakers	Quakers;Society of Friends	Monthly Meeting of Friends of Philadelphia;Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w67f3kpm	Griffith, Abraham, 1712?-1798	Male	Clergy;Quakers	Lay ministry--Society of Friends;Society of Friends;Society of Friends--Clergy;Quakers	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6rg6kkd	Burroughs, Samuel, 1742-1793	Male	Quakers	Quakers;Society of Friends	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Haddonfield Monthly Meeting of the Religious Society of Friends	
w6br9gtg	Story, Thomas, 1662-1742	Male	Clergy;Quakers	Quakers;Quakers--Social life and customs;Baptism--Society of Friends;Society of Friends--Schisms and separations;Quakers--Taxation;Lay ministry--Society of Friends	Unknown	
w6107trk	Reeves, Hannah Foster, 1734-1813	Female	Quakers;Women clergy;Clergy	Quakers;Quaker women;Society of Friends;Society of Friends--Clergy;Lay ministry--Society of Friends	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w66b7v3g	Atkinson, Elizabeth, 1732-1796	Female	Quakers;Clergy;Women clergy	Lay ministry--Society of Friends;Quaker women;Society of Friends--Clergy;Quakers;Society of Friends	Mount Holly Monthly Meeting of Friends;Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6mt4j9v	Cowperthwaite, Joseph, 1793-1822	Male	Clergy;Quakers	Quakers;Society of Friends--Clergy;Society of Friends;Lay ministry--Society of Friends	Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6gj3q0h	Collins, Esther Roberts Hunt, 1751-1820	Female	Pioneers;Women clergy;Quakers;Clergy;Elders	Society of Friends--Lay ministry	Redstone Monthly Meeting (Society of Friends);Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w69891jc	Chalkley, Thomas, 1675-1741			Mathematics	Unknown	
w67j292w	Lippincott, Samuel, 1770-1844	Male	Quakers;Clergy	Lay ministry--Society of Friends;Society of Friends--Clergy;Society of Friends;Quakers	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6rk58z8	Lloyd, John, 1725-1797	Male	Quakers;Clergy	Quakers;Society of Friends;Society of Friends--Clergy;Lay ministry--Society of Friends	Horsham Monthly Meeting of Friends;Abington Monthly Meeting of the Religious Society of Friends	
w68d3sbk	Swett, Mary Howell, approximately 1739-1821	Female	Quakers;Clergy;Women clergy	Society of Friends;Lay ministry--Society of Friends;Clergy--Travel;Women clergy;Quaker women;Quakers--Travel;Society of Friends--Clergy;Quakers	Haddonfield Monthly Meeting of the Religious Society of Friends	
w67d3g1h	Morris, Sarah, 1704-1775	Female	Quakers;Clergy;Women clergy	Society of Friends--Clergy;Quakers;Society of Friends;Voyages and travels;Lay ministry--Society of Friends;Clergy--Travel;Quaker women	Unknown	
w6wj3fbd	Zane, Isaac, 1753-1816	Male	Interpreters	Kidnapping victims;Wyandot Indians	Unknown	
w6q924mx	Bonsall, Mary Hoskins Newbould, 1765-1814	Female	Quakers	Society of Friends;Quaker women;Quakers	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6jd66gz	Churchman, George, 1730-1814	Male	Surveyers;Quakers;Surveyors	Elders;Society of Frends;Surveyors;Quakers	Nottingham Monthly Meeting (Society of Friends);Nottingham Monthly Meeting (Society of Friends)	
w63g5dz0	Parrish, John, 1730-1807	Male	Prison reformers;Abolitinists;Clergy;Quakers;Quaker abolitionists	Quakers--Political activity--History--18th century--Sources;Society of Friends--Clergy;Lay ministry--Society of Friends;Antislavery movements;Indians of North America--Wars--1790-1794--Sources;Ministers (Clergy);Indians of North America--Treaties;Slavery and the church--Society of Friends;Moravian Indians--History--18th century--Sources;Iroquois Indians--Treaties--History--18th century--Sources;Indian captivities--History--18th century--Sources;Indians of North America--Social life and customs;Slavery;Indians of North America--Government relations--1789-1869--Sources;Quakers;Indians of North America--Treaties--History--18th century--Sources;Society of Friends;Slavery--Law and legislation--History	Unknown	
w6427ngj	Dillwyn, George, 1738-1820	Male	Clergy;Quakers	Quakers;Society of Friends--Clergy;Society of Friends;Lay ministry--Society of Friends	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6t25v7b	Matlack, Joseph, 1767-1814	Male	Quakers;Clergy	Lay ministry--Society of Friends;Society of Friends;Society of Friends--Clergy;Quakers	Unknown	
w69d6j2j	Matlack, Asa, 1783-1851.				Unknown	
w66696rh	Murray, Lindley, 1745-1826	Male	Grammarians;Quakers	Society of Friends;Quakers--Education;Quakers	Unknown	
w6kf2pgw	Sleeper, John, 1731-1794	Male	Clergy;Quakers	Society of Friends;Society of Friends--Clergy;Lay ministry--Society of Friends;Quakers	Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w64n1mqv	Warrington, Rebecca Walton, 1734-1812	Female	Quakers	Society of Friends;Quaker women;Quakers	Unknown	
w6jx3293	Lippincott, Thomas, 1756-1821	Male	Elders;Quakers	Quakers;Society of Friends	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827)	
w6qj9kc7	Cooper, David, 1725-1795	Male	Quakers;Clergy;Farmers;Quaker abolitionists	Society of Friends--Clergy;Lay ministry--Society of Friends;Society of Friends;Quakers	Philadelphia Monthly Meeting (Pa.);Haddonfield Monthly Meeting of the Religious Society of Friends	
w68g9ffr	Offley, Daniel, 1756-1793	Male	Quakers;Craftsmen;Clergy	Anchors;Society of Friends--Clergy;Quakers;Clergy--Travel;Tax protests and appeals;Society of Friends;Lay ministry--Society of Friends;Yellow fever--1793	Monthly Meeting of Friends of Philadelphia for the Southern District;Monthly Meeting of Friends of Philadelphia	
w6p55q0b	Penn, William, 1644-1718		Surveyors--Pennsylvania;Surveyors;Governors--Pennsylvania	Taxation;Quakers England History--20th century;Native Americans;Indians--First contact with Europeans;Boundary disputes;Deeds--History--17th century--Sources;Pennsylvania Dutch;Pirates;Yellow fever;Aphorisms and apothegms--17th century;Epidemics;Pennsylvania--History--Colonial period, ca. 1600-1775;Society of Friends--History;Penmanship, English;Puritans--History--17th century--Sources;Philadelphia History;German Americans;Society of Friends;Land settlement;Real property--History--17th century--Sources;Iroquois Indians--Treaties;Colonial Politics;Surveys;Conduct of life--17th century;Real property;Legal instruments--History--17th century--Sources;Manuscripts--English;Deeds;Christian life--17th century;Quakers England History--18th century;Indians of North America;Palatine Americans;Paper money;Calligraphy--Specimens;Spanish Succession, War of, 1701-1714;Maxims--17th century;Seven Years' War;Persecution;Military history;Land tenure--History--17th century--Sources;Sugar;Land speculation;Pennsylvania--Boundaries;Pennsylvania History;Quakers--History--17th century;Quakers England History--17th century;Penn's treaty with the Indians, 1682--Anniversaries;Church and state--England;Quakers;Keithian controversy;Oath of allegiance, 1606;Irish Americans;Legal issues;Mason--Dixon line	Unknown	
w6n05bth	Roberts, Joseph, 1742-1826	Male	Quakers	Society of Friends;Quakers	Upper Evesham Monthly Meeting (Society of Friends : 1793-1827);Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6w48mwd	Newbold, Mary Foster, 1741-1809	Female	Quakers;Clergy;Women clergy	Lay ministry--Society of Friends;Society of Friends;Quakers;Society of Friends--Clergy	Upper Springfield Monthly Meeting of Friends (Hicksite)	
w6n87x9b	Scott, Job, 1751-1793	Male	Quakers;Clergy	Voyages and travels;Lay ministry--Society of Friends;Society of Friends--Clergy;Quakers;Society of Friends;Clergy--Travel	Unknown	
w6wt9jhx	Evans, Enoch, 1743-1818	Male	Quakers	Quakers;Society of Friends	Chester Monthly Meeting (Society of Friends : 1803-1827 : Moorestown, N.J.)	
w6s505g1	Bownas, Samuel, 1676-1753	Male	Clergy;Quakers	Society of Friends--Clergy;Clergy--Travel;Voyages and travels;Clergy--Etiquette;Quakers;Lay ministry--Society of Friends	Unknown	
w6d01xtv	Conrow, Darling.				Unknown	
w6xm0dbv	Roberts, Josiah, 1783-1841	Male	Quakers	Society of Friends;Quakers	Unknown	
w6fv9b6q	Rogers, William, 1731-1812	Male	Quakers	Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6zk9cxf	Swett, Benjamin, approximately 1738-1819	Male	Quakers;Merchants;Clergy	Society of Friends--Indians;Quakers;Church work with Indians;Lay ministry--Society of Friends;Society of Friends--Clergy;Society of Friends	Haddonfield Monthly Meeting of the Religious Society of Friends	
w6cr7t0d	Jackson, William, 1746-1834	Male	Quakers;Clergy	Society of Friends;Lay ministry--Society of Friends;Quakers;Society of Friends--Clergy	Unknown	
w63p2txf	Roberts, Joshua, 1770-1815	Male	Quakers	Quakers;Society of Friends	Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6d902xk	Tomlinson, Ephraim, 1695-1780	Male	Quakers;Elders	Society of Friends;Quakers;Elders (Church officers)	Unknown	
w6b38ksb	Cooper, James, 1754-1819	Male	Clergy;Quakers	Society of Friends--Clergy;Quakers;Lay ministry--Society of Friends;Society of Friends	Woodbury Monthly Meeting (Society of Friends)	
w6qj854r	Buzby, Joseph, 1729-1811	Male	Quakers	Society of Friends;Elders (Church officers);Quakers	Unknown	
w6gb275h	Foster, William, 1707-1778				Unknown	
w6xt6kzb	Roberts, Samuel, 1746-1825	Male	Quakers	Society of Friends;Quakers	Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.);Chester Monthly Meeting (Society of Friends : 1681-1827)	
w6qk87r0	Gibbs, Lucas, 1773-1807	Male	Quakers	Quakers;Society of Friends	Salem Monthly Meeting (Society of Friends : 1676-1827);Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w6g55ftx	Hollinshead, Edmund, 1708-1781	Male	Clergy;Quakers	Quakers;Society of Friends;Lay ministry--Society of Friends;Society of Friends--Clergy	Haddonfield Monthly Meeting of the Religious Society of Friends;Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w60g68ww	Potts, Joseph, 1742-1804	Male	Quakers;Clergy	Lay ministry--Society of Friends;Quakers;Society of Friends;Society of Friends--Clergy	Unknown	
w6x74cd2	Cattle, Jonas, 1741-1828	Male	Quakers	Quakers;Overseers;Society of Friends	Redstone Monthly Meeting (Society of Friends);Evesham Monthly Meeting (Society of Friends : 1760-1827 : Mount Laurel, N.J.)	
w66f6jgb	Coles, Kendall, 1723-1804	Male	Quakers	Society of Friends;Quakers	Unknown	
w6h70g88	Reeve, Benjamin, 1737-1801	Male	Quakers;Clergy	Society of Friends--Clergy;Quakers;Lay ministry--Society of Friends;Society of Friends	Salem Monthly Meeting (Society of Friends : 1676-1827);Greenwich Monthly Meeting of Friends	
w62n51qq	Comly, John, 1773-1850	Male	Surveyors;Educators;Farmers;Quakers;Teachers;Clergy;Editors--Pennsylvania	Society of Friends--Clergy;Quakers;Toll roads;Editing;Teachers;Publishers and Publishing;Diaries;Lay ministry--Society of Friends;Society of Friends	Byberry Monthly Meeting of the Religious Society of Friends.	
w6cr7rz4	Thornton, James, 1727-1794	Male	Clergy;Quakers	Quakers;Clergy--Travel;Society of Friends;Society of Friends--Clergy;Quakers--Correspondence;Lay ministry--Society of Friends	Unknown	
w6058f0z	Allinson, Samuel, 1739?-1791	Male	Quakers;Attorney;Surveyors	Quakers;Society of Friends	Haddonfield Monthly Meeting of the Religious Society of Friends;Burlington Monthly Meeting (Society of Friends : 1678-1827)	
w6061n21	Hunt, Caleb, 1786-1834				Unknown	
w60s0hwm	Evans, Jonathan, 1759-1839				Unknown	
w6q061bh	Crisp, Steven, 1628-1692	Male	Quakers;Clergy	Quakers;Lay ministry--Society of Friends;Society of Friends--Clergy;Society of Friends	Unknown	
w6wt7j0f	Matlack, Ann R.				Unknown	
